,,,jeff
04:09-09/28,1254110977,0,1
04:21-09/28,1254111701,0,3
04:21-09/28,1254111703,0,4
04:21-09/28,1254111703,0,5
04:21-09/28,1254111704,0,6
04:21-09/28,1254111704,0,7
04:21-09/28,1254111704,0,8
04:21-09/28,1254111705,0,9
04:21-09/28,1254111705,0,10
04:21-09/28,1254111705,0,11
04:21-09/28,1254111706,0,12
18:01-11/14,1258221672,0,13
18:01-11/14,1258221673,0,14
18:01-11/14,1258221674,0,15
18:01-11/14,1258221674,0,16
18:01-11/14,1258221674,0,17
